Ticker,Company,CEO,Year,SEO Pay
DBX,"Dropbox, Inc.",Andrew Houston,2019,"$1,385,192"
ANET,"Arista Networks, Inc.",Jayshree Ullal,2019,"$1,384,171"
PACB,"Pacific Biosciences of California, Inc.",Michael Hunkapiller,2019,"$1,382,690"
VBIV,"VBI Vaccines, Inc.",Jeff Baxter,2019,"$1,379,628"
HROW,"Harrow Health, Inc.",Mark Baum,2019,"$1,377,012"
CPSI,"Computer Programs and Systems, Inc.",J. Douglas,2019,"$1,375,900"
EXPI,"eXp World Holdings, Inc.",Glen Sanford,2019,"$1,369,405"
STSA,"Satsuma Pharmaceuticals, Inc.",John Kollins,2019,"$1,368,103"
TCO,"Taubman Centers, Inc.",Robert Taubman,2019,"$1,357,347"
MCBS,"MetroCity Bankshares, Inc.",Nack Paek,2019,"$1,357,078"
MSBI,"Midland States Bancorp, Inc.",Jeffrey Ludwig,2019,"$1,354,060"
ATOM,Atomera Incorporated,Scott Bibaud,2019,"$1,353,582"
CRWD,"CrowdStrike Holdings, Inc.",George Kurtz,2020,"$1,350,000"
PROV,"Provident Financial Holdings, Inc.",Craig Blunden,2019,"$1,345,703"
